id;name;grande_comando;estado;pais;
474;ADIDEFNEAINDIA;EMAER;-;÷NDIA;
475;ADIDEFSENEG;EMAER;-;SENEGAL;
476;ADIFA;EMAER;OUTROS;EXTERIOR;
477;ADIFA CHIN;EMAER;-;CHINA;
478;ADIFA ESP;EMAER;-;ESPANHA;
479;ADIFA RUSS;EMAER;-;RÈSSIA;
480;AGAFA;EMAER;-;EQUADOR;
481;CMA BOL;EMAER;-;BOL÷VIA;
482;EMAER;EMAER;DF;BRASIL;
483;MISSAO EXT;EMAER;OUTROS;EXTERIOR;
484;RBJID;EMFA;-;ESTADOS UNIDOS;
485;11 CJM;GABAER;DF;BRASIL;
486;AMVPR;GABAER;DF;BRASIL;
487;CMB;GABAER;DF;BRASIL;
488;COJAER;GABAER;DF;BRASIL;
489;COJAER;GABAER;RJ;BRASIL;
490;COMAER;GABAER;DF;BRASIL;
491;GABAER;GABAER;DF;BRASIL;
492;GABAER;GABAER;RJ;BRASIL;
493;GSIPR;GABAER;DF;BRASIL;
494;GTE;GABAER;DF;BRASIL;
495;MISSAO BR;GABAER;DF;BRASIL;
496;PRES REP;GABAER;DF;BRASIL;
497;STM;GABAER;DF;BRASIL;
498;STM-OF;GABAER;DF;BRASIL;
499;VIC-PRAER OF;GABAER;DF;BRASIL;
500;VIC-PRAER SGT;GABAER;DF;BRASIL;
501;COMDCIBER;MDEFESA;DF;BRASIL;
502;HFA;MDEFESA;DF;BRASIL;
503;MDEFESA;MDEFESA;DF;BRASIL;
504;ONU;MDEFESA;-;ESTADOS UNIDOS;
505;DIREF;SEFA;DF;BRASIL;
506;GAP AN;SEFA;GO;BRASIL;
507;GAP BR;SEFA;DF;BRASIL;
508;GAP DF;SEFA;DF;BRASIL;
509;PAAN;SEFA;GO;BRASIL;
510;PABR;SEFA;DF;BRASIL;
511;SEFA;SEFA;DF;BRASIL;
512;ADEXAEAL;-;OUTROS;EXTERIOR;
513;ADEXAEPR;-;-;PORTUGAL;
514;ADIDEFNAVEXAERSUECIA;-;OUTROS;REINO UNIDO;
515;ADIFA COLO;-;-;COL‚MBIA;
516;ADIFA IRAN;-;-;IRAQUE;
517;ADIFA ISRA;-;OUTROS;EXTERIOR;
518;ADIFA IUGO;-;-;IUGOSLµVIA;
519;ADIFA MEXI;-;-;MêXICO;
520;CASSAB;-;DF;BRASIL;
521;CCPR;-;DF;BRASIL;
522;COMEXER;-;DF;BRASIL;
523;GAC-AFS;-;-;µFRICA DO SUL;
524;GAC-CASA;-;-;ESPANHA;
525;OACI;-;-;CANADµ;
526;STM/DF;-;DF;BRASIL;
527;SERIPA VII;CENIPA;AM;BRASIL;
528;COMARA-DACO TT;COMGAP SP;AM;BRASIL;
529;DACO MN;COMGAP SP;AM;BRASIL;
530;DACO UA;COMGAP SP;AM;BRASIL;
531;DT-INFRA MN;COMGAP SP;AM;BRASIL;
532;ES-BV;COMGEP;RR;BRASIL;
533;ES-PV;COMGEP;RO;BRASIL;
534;HAMN;COMGEP;AM;BRASIL;
535;SEREP-MN;COMGEP;AM;BRASIL;
536;1/3 GAV;COMPREP;RR;BRASIL;
537;1/4 GAV;COMPREP;AM;BRASIL;
538;1/9 GAV;COMPREP;AM;BRASIL;
539;2 GDAAE;COMPREP;AM;BRASIL;
540;2/3 GAV;COMPREP;RO;BRASIL;
541;2/8 GAV;COMPREP;RO;BRASIL;
542;7 ETA;COMPREP;AM;BRASIL;
543;7/8 GAV;COMPREP;AM;BRASIL;
544;ALA 6;COMPREP;RO;BRASIL;
545;ALA 7;COMPREP;RR;BRASIL;
546;ALA 8;COMPREP;AM;BRASIL;
547;BABV;COMPREP;RR;BRASIL;
548;BAMN;COMPREP;AM;BRASIL;
549;BAPV;COMPREP;RO;BRASIL;
550;BINFAE MN;COMPREP;AM;BRASIL;
551;DSM-MN;COMPREP;AM;BRASIL;
552;DSTAEEI;COMPREP;AM;BRASIL;
553;DSTAEUA;COMPREP;AM;BRASIL;
554;DSTAEVH;COMPREP;RO;BRASIL;
555;GSD-MN;COMPREP;AM;BRASIL;
556;VII COMAR;COMPREP;AM;BRASIL;
557;5/1 GCC;DECEA;RO;BRASIL;
558;CINDACTA IV;DECEA;AM;BRASIL;
559;DTCEA-BV;DECEA;RR;BRASIL;
560;DTCEA-CZ;DECEA;AC;BRASIL;
561;DTCEA-EG;DECEA;AM;BRASIL;
